HostName,PlanetLetter,DiscoveryMethod,PlanetInSS,Updated,PlanetName,DiscoveryYear,PlaceOfDiscovery,DiscoveryFacility,Telescope,Instrument,Status
K2-17,b,Transit,1,7/16/2015,K2-17 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-18,b,Transit,1,7/16/2015,K2-18 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-19,b,Transit,3,7/7/2016,K2-19 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-21,b,Transit,2,9/18/2015,K2-21 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-22,b,Transit,1,10/15/2015,K2-22 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-24,b,Transit,2,7/7/2016,K2-24 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-25,b,Transit,1,1/5/2016,K2-25 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-26,b,Transit,1,1/21/2016,K2-26 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-27,b,Transit,1,2/9/2017,K2-27 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-28,b,Transit,1,2/25/2016,K2-28 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-29,b,Transit,1,3/24/2016,K2-29 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-3,b,Transit,3,7/7/2016,K2-3 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-30,b,Transit,1,4/14/2016,K2-30 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-31,b,Transit,1,12/1/2016,K2-31 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-32,b,Transit,3,2/9/2017,K2-32 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-33,b,Transit,1,6/23/2016,K2-33 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-34,b,Transit,1,6/3/2016,K2-34 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-35,b,Transit,2,7/7/2016,K2-35 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-36,b,Transit,2,7/7/2016,K2-36 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-37,b,Transit,3,7/7/2016,K2-37 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-38,b,Transit,2,7/7/2016,K2-38 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-39,b,Transit,1,2/9/2017,K2-39 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-4,b,Transit,1,7/16/2015,K2-4 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-42,b,Transit,1,7/18/2016,K2-42 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-43,b,Transit,1,7/18/2016,K2-43 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-44,b,Transit,1,7/18/2016,K2-44 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-45,b,Transit,1,7/18/2016,K2-45 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-46,b,Transit,1,7/18/2016,K2-46 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-47,b,Transit,1,7/18/2016,K2-47 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-48,b,Transit,1,7/18/2016,K2-48 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-49,b,Transit,1,7/18/2016,K2-49 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-5,b,Transit,2,7/7/2016,K2-5 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-50,b,Transit,1,7/18/2016,K2-50 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-51,b,Transit,1,7/18/2016,K2-51 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-52,b,Transit,1,7/18/2016,K2-52 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-53,b,Transit,1,7/18/2016,K2-53 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-54,b,Transit,1,7/18/2016,K2-54 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-55,b,Transit,1,7/18/2016,K2-55 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-57,b,Transit,1,7/18/2016,K2-57 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-58,b,Transit,3,7/18/2016,K2-58 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-59,b,Transit,2,7/18/2016,K2-59 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-6,b,Transit,1,7/16/2015,K2-6 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-60,b,Transit,1,2/2/2017,K2-60 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-61,b,Transit,1,7/18/2016,K2-61 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-62,b,Transit,2,7/18/2016,K2-62 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-63,b,Transit,1,7/18/2016,K2-63 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-64,b,Transit,1,7/18/2016,K2-64 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
